name,description,price,sale_price,image,category_id,sizes,colors,rating,review_count,details
Classic White T-Shirt,"A timeless classic white t-shirt made from premium cotton for everyday comfort.",29.99,,https://images.pexels.com/photos/6311392/pexels-photo-6311392.jpeg?auto=compress&cs=tinysrgb&w=1600,956283a1-6079-44f4-aebb-ba9f4cfc6719,"{S,M,L,XL}",,4,42,"{100% premium cotton,Classic fit,Machine washable,Pre-shrunk}"
Slim Fit Jeans,"Modern slim fit jeans with a touch of stretch for added comfort and mobility.",59.99,44.99,https://images.pexels.com/photos/603022/pexels-photo-603022.jpeg?auto=compress&cs=tinysrgb&w=1600,956283a1-6079-44f4-aebb-ba9f4cfc6719,"{30,32,34,36}",,4.5,28,"{98% cotton, 2% elastane,Slim fit,Five-pocket styling,Machine washable}"
Casual Summer Dress,"Light and flowy summer dress, perfect for warm days and casual outings.",49.99,,https://images.pexels.com/photos/7679720/pexels-photo-7679720.jpeg?auto=compress&cs=tinysrgb&w=1600,14ab597a-224c-4fab-9655-3775f011ae88,"{XS,S,M,L}",,5,17,"{100% rayon,A-line silhouette,Knee length,Machine washable}"
Leather Crossbody Bag,"Stylish leather crossbody bag with adjustable strap and multiple compartments.",89.99,69.99,https://images.pexels.com/photos/1152077/pexels-photo-1152077.jpeg?auto=compress&cs=tinysrgb&w=1600,f6964c7d-ae7e-4c49-a387-2c1c18cb5fe5,,,4.5,36,"{Genuine leather,Adjustable strap,Multiple compartments,Magnetic closure}"
Classic Oxford Shirt,"Timeless Oxford shirt made from premium cotton, perfect for casual and semi-formal occasions.",39.99,,https://images.pexels.com/photos/297933/pexels-photo-297933.jpeg?auto=compress&cs=tinysrgb&w=1600,956283a1-6079-44f4-aebb-ba9f4cfc6719,"{S,M,L,XL,XXL}",,4,22,"{100% cotton,Button-down collar,Regular fit,Machine washable}"
Minimalist Gold Watch,"Elegant minimalist watch with a gold finish and leather strap.",129.99,,https://images.pexels.com/photos/9978945/pexels-photo-9978945.jpeg?auto=compress&cs=tinysrgb&w=1600,f6964c7d-ae7e-4c49-a387-2c1c18cb5fe5,,,5,14,"{Stainless steel case with gold finish,Genuine leather strap,Quartz movement,Water resistant up to 30m}"
High-Waisted Yoga Leggings,"Comfortable high-waisted yoga leggings made from moisture-wicking fabric.",44.99,34.99,https://images.pexels.com/photos/6311586/pexels-photo-6311586.jpeg?auto=compress&cs=tinysrgb&w=1600,14ab597a-224c-4fab-9655-3775f011ae88,"{XS,S,M,L}",,4.5,48,"{88% polyester, 12% spandex,High-waisted design,Moisture-wicking fabric,Four-way stretch}"
Oversized Knit Sweater,"Cozy oversized knit sweater, perfect for layering during colder months.",64.99,,https://images.pexels.com/photos/6626903/pexels-photo-6626903.jpeg?auto=compress&cs=tinysrgb&w=1600,14ab597a-224c-4fab-9655-3775f011ae88,"{S,M,L}",,4,19,"{70% acrylic, 30% wool,Oversized fit,Ribbed cuffs and hem,Hand wash cold}"
Classic Aviator Sunglasses,"Timeless aviator sunglasses with UV protection and polarized lenses.",79.99,,https://images.pexels.com/photos/701877/pexels-photo-701877.jpeg?auto=compress&cs=tinysrgb&w=1600,f6964c7d-ae7e-4c49-a387-2c1c18cb5fe5,,,4.5,31,"{Metal frame,Polarized lenses,UV400 protection,Includes protective case}"
Leather Chelsea Boots,"Classic Chelsea boots crafted from genuine leather with elastic side panels.",119.99,,https://images.pexels.com/photos/267320/pexels-photo-267320.jpeg?auto=compress&cs=tinysrgb&w=1600,956283a1-6079-44f4-aebb-ba9f4cfc6719,"{7,8,9,10,11,12}",,5,26,"{Genuine leather upper,Elastic side panels,Pull tab at heel,Rubber outsole}"
Floral Print Maxi Dress,"Flowing maxi dress with a vibrant floral print, perfect for summer events.",69.99,54.99,https://images.pexels.com/photos/7691221/pexels-photo-7691221.jpeg?auto=compress&cs=tinysrgb&w=1600,14ab597a-224c-4fab-9655-3775f011ae88,"{XS,S,M,L}",,4,15,"{100% polyester,Maxi length,V-neckline,Machine washable}"